




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (2507)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
regulation of ion transmembrane transporter activity (GO:0032412)	272	76	33.11	+	2.30	2.87E-09	1.58E-07
learning or memory (GO:0007611)	256	73	31.16	+	2.34	3.04E-09	1.66E-07
regulation of synapse organization (GO:0050807)	210	64	25.56	+	2.50	3.20E-09	1.74E-07
angiogenesis (GO:0001525)	318	84	38.71	+	2.17	3.22E-09	1.75E-07
cell projection organization (GO:0030030)	1221	229	148.63	+	1.54	3.34E-09	1.81E-07
regulation of macromolecule metabolic process (GO:0060255)	6340	919	771.76	+	1.19	3.49E-09	1.88E-07
response to growth factor (GO:0070848)	526	120	64.03	+	1.87	3.66E-09	1.97E-07
positive regulation of neurogenesis (GO:0050769)	227	67	27.63	+	2.42	3.69E-09	1.97E-07
cell junction organization (GO:0034330)	502	116	61.11	+	1.90	3.68E-09	1.97E-07
nephron epithelium development (GO:0072009)	98	40	11.93	+	3.35	3.73E-09	1.99E-07
regulation of growth (GO:0040008)	661	142	80.46	+	1.76	4.09E-09	2.17E-07
forebrain generation of neurons (GO:0021872)	62	31	7.55	+	4.11	5.39E-09	2.85E-07
muscle organ development (GO:0007517)	283	77	34.45	+	2.24	5.52E-09	2.90E-07
regulation of transmembrane transporter activity (GO:0022898)	283	77	34.45	+	2.24	5.52E-09	2.91E-07
negative regulation of cell population proliferation (GO:0008285)	703	148	85.58	+	1.73	5.63E-09	2.95E-07
positive regulation of phosphate metabolic process (GO:0045937)	998	194	121.49	+	1.60	6.00E-09	3.12E-07
positive regulation of phosphorus metabolic process (GO:0010562)	998	194	121.49	+	1.60	6.00E-09	3.13E-07
DNA repair (GO:0006281)	531	22	64.64	-	.34	6.19E-09	3.21E-07
forebrain neuron differentiation (GO:0021879)	51	28	6.21	+	4.51	6.22E-09	3.22E-07
cellular calcium ion homeostasis (GO:0006874)	425	102	51.73	+	1.97	6.25E-09	3.22E-07
response to lipid (GO:0033993)	831	168	101.16	+	1.66	6.29E-09	3.23E-07
feeding behavior (GO:0007631)	83	36	10.10	+	3.56	6.34E-09	3.25E-07
inorganic ion homeostasis (GO:0098771)	724	151	88.13	+	1.71	6.50E-09	3.31E-07
cellular response to growth factor stimulus (GO:0071363)	497	114	60.50	+	1.88	6.84E-09	3.47E-07
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	272	186.00	+	1.46	7.44E-09	3.77E-07
regulation of macromolecule biosynthetic process (GO:0010556)	3999	612	486.79	+	1.26	7.63E-09	3.85E-07
sensory perception of mechanical stimulus (GO:0050954)	177	56	21.55	+	2.60	8.13E-09	4.09E-07
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	607	483.02	+	1.26	9.47E-09	4.75E-07
regulation of cytosolic calcium ion concentration (GO:0051480)	321	83	39.07	+	2.12	9.61E-09	4.81E-07
connective tissue development (GO:0061448)	202	61	24.59	+	2.48	9.96E-09	4.97E-07
cell motility (GO:0048870)	1109	209	135.00	+	1.55	1.06E-08	5.24E-07
localization of cell (GO:0051674)	1109	209	135.00	+	1.55	1.06E-08	5.26E-07
cell differentiation in spinal cord (GO:0021515)	49	27	5.96	+	4.53	1.09E-08	5.39E-07
cardiac muscle tissue development (GO:0048738)	168	54	20.45	+	2.64	1.15E-08	5.66E-07
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	303	7	36.88	-	.19	1.16E-08	5.70E-07
mRNA splicing, via spliceosome (GO:0000398)	303	7	36.88	-	.19	1.16E-08	5.72E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	617	492.88	+	1.25	1.21E-08	5.91E-07
RNA splicing, via transesterification reactions (GO:0000375)	306	7	37.25	-	.19	1.22E-08	5.92E-07
morphogenesis of a branching epithelium (GO:0061138)	160	52	19.48	+	2.67	1.25E-08	6.05E-07
cell surface receptor signaling pathway (GO:0007166)	2495	407	303.71	+	1.34	1.26E-08	6.08E-07
morphogenesis of a branching structure (GO:0001763)	169	54	20.57	+	2.62	1.27E-08	6.12E-07
cellular protein catabolic process (GO:0044257)	644	32	78.39	-	.41	1.27E-08	6.13E-07
regulation of tube size (GO:0035150)	131	46	15.95	+	2.88	1.34E-08	6.43E-07
positive regulation of cell development (GO:0010720)	300	79	36.52	+	2.16	1.40E-08	6.65E-07
regulation of transporter activity (GO:0032409)	300	79	36.52	+	2.16	1.40E-08	6.67E-07
proteolysis involved in cellular protein catabolic process (GO:0051603)	609	29	74.13	-	.39	1.43E-08	6.79E-07
immune response (GO:0006955)	2075	167	252.59	-	.66	1.51E-08	7.15E-07
regulation of developmental growth (GO:0048638)	320	82	38.95	+	2.11	1.52E-08	7.17E-07
homeostatic process (GO:0042592)	1680	292	204.50	+	1.43	1.54E-08	7.24E-07
limbic system development (GO:0021761)	109	41	13.27	+	3.09	1.56E-08	7.33E-07
negative regulation of neuron differentiation (GO:0045665)	70	32	8.52	+	3.76	1.64E-08	7.66E-07
enzyme linked receptor protein signaling pathway (GO:0007167)	723	149	88.01	+	1.69	1.66E-08	7.75E-07
cation homeostasis (GO:0055080)	710	147	86.43	+	1.70	1.74E-08	8.08E-07
regulation of nervous system process (GO:0031644)	146	49	17.77	+	2.76	1.76E-08	8.18E-07
regulation of protein phosphorylation (GO:0001932)	1218	224	148.27	+	1.51	1.93E-08	8.90E-07
diencephalon development (GO:0021536)	79	34	9.62	+	3.54	1.93E-08	8.91E-07
inner ear morphogenesis (GO:0042472)	101	39	12.29	+	3.17	1.97E-08	9.03E-07
regulation of blood pressure (GO:0008217)	188	57	22.88	+	2.49	2.11E-08	9.66E-07
positive regulation of phosphorylation (GO:0042327)	921	179	112.11	+	1.60	2.25E-08	1.03E-06
neurotransmitter transport (GO:0006836)	142	48	17.29	+	2.78	2.30E-08	1.05E-06
response to retinoic acid (GO:0032526)	111	41	13.51	+	3.03	2.36E-08	1.07E-06
regulation of insulin secretion (GO:0050796)	189	57	23.01	+	2.48	2.39E-08	1.08E-06
cardiac chamber morphogenesis (GO:0003206)	119	43	14.49	+	2.97	2.60E-08	1.17E-06
regulation of tube diameter (GO:0035296)	130	45	15.82	+	2.84	2.62E-08	1.17E-06
blood vessel diameter maintenance (GO:0097746)	130	45	15.82	+	2.84	2.62E-08	1.18E-06
dorsal/ventral pattern formation (GO:0009953)	76	33	9.25	+	3.57	2.62E-08	1.18E-06
peptide biosynthetic process (GO:0043043)	414	15	50.40	-	.30	2.81E-08	1.25E-06
formation of primary germ layer (GO:0001704)	112	41	13.63	+	3.01	2.89E-08	1.29E-06
response to organic cyclic compound (GO:0014070)	900	175	109.56	+	1.60	2.90E-08	1.29E-06
regulation of gene expression (GO:0010468)	4922	728	599.15	+	1.22	2.98E-08	1.32E-06
regulation of phosphorylation (GO:0042325)	1391	248	169.32	+	1.46	3.10E-08	1.37E-06
renal tubule development (GO:0061326)	81	34	9.86	+	3.45	3.13E-08	1.38E-06
mitochondrion organization (GO:0007005)	468	19	56.97	-	.33	3.51E-08	1.54E-06
branching morphogenesis of an epithelial tube (GO:0048754)	132	45	16.07	+	2.80	3.68E-08	1.61E-06
metal ion homeostasis (GO:0055065)	626	132	76.20	+	1.73	3.71E-08	1.62E-06
segmentation (GO:0035282)	95	37	11.56	+	3.20	3.76E-08	1.63E-06
positive regulation of neuron differentiation (GO:0045666)	95	37	11.56	+	3.20	3.76E-08	1.64E-06
positive regulation of protein phosphorylation (GO:0001934)	838	165	102.01	+	1.62	4.24E-08	1.84E-06
cardiac chamber development (GO:0003205)	162	51	19.72	+	2.59	4.57E-08	1.98E-06
protein catabolic process (GO:0030163)	697	38	84.84	-	.45	4.79E-08	2.06E-06
embryonic pattern specification (GO:0009880)	70	31	8.52	+	3.64	4.82E-08	2.07E-06
developmental process involved in reproduction (GO:0003006)	974	185	118.56	+	1.56	5.08E-08	2.18E-06
regulation of anatomical structure size (GO:0090066)	514	113	62.57	+	1.81	5.17E-08	2.21E-06
gastrulation (GO:0007369)	157	50	19.11	+	2.62	5.28E-08	2.25E-06
cellular response to oxygen-containing compound (GO:1901701)	1075	200	130.86	+	1.53	5.39E-08	2.29E-06
protein modification by small protein conjugation or removal (GO:0070647)	1035	68	125.99	-	.54	5.51E-08	2.34E-06
regulation of potassium ion transport (GO:0043266)	120	42	14.61	+	2.88	6.28E-08	2.65E-06
regulation of cell adhesion (GO:0030155)	731	147	88.98	+	1.65	6.94E-08	2.93E-06
organic substance catabolic process (GO:1901575)	1769	140	215.34	-	.65	7.05E-08	2.96E-06
macromolecule modification (GO:0043412)	3211	291	390.87	-	.74	7.61E-08	3.19E-06
mesonephros development (GO:0001823)	85	34	10.35	+	3.29	7.94E-08	3.32E-06
nephron tubule development (GO:0072080)	77	32	9.37	+	3.41	9.46E-08	3.95E-06
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	37	12.17	+	3.04	1.08E-07	4.50E-06
muscle cell differentiation (GO:0042692)	247	66	30.07	+	2.20	1.13E-07	4.67E-06
nervous system process (GO:0050877)	1416	248	172.37	+	1.44	1.21E-07	5.01E-06
regulation of phosphorus metabolic process (GO:0051174)	1578	271	192.09	+	1.41	1.33E-07	5.47E-06
regulation of phosphate metabolic process (GO:0019220)	1578	271	192.09	+	1.41	1.33E-07	5.49E-06
modification-dependent macromolecule catabolic process (GO:0043632)	563	28	68.53	-	.41	1.36E-07	5.60E-06
kidney morphogenesis (GO:0060993)	83	33	10.10	+	3.27	1.37E-07	5.62E-06
regulation of amine transport (GO:0051952)	92	35	11.20	+	3.13	1.38E-07	5.62E-06
positive regulation of MAPK cascade (GO:0043410)	525	113	63.91	+	1.77	1.38E-07	5.63E-06
RNA splicing (GO:0008380)	409	16	49.79	-	.32	1.45E-07	5.89E-06
regulation of molecular function (GO:0065009)	3118	483	379.55	+	1.27	1.49E-07	6.03E-06
cellular catabolic process (GO:0044248)	1812	146	220.57	-	.66	1.50E-07	6.05E-06
cellular chemical homeostasis (GO:0055082)	762	150	92.76	+	1.62	1.62E-07	6.53E-06
production of molecular mediator of immune response (GO:0002440)	141	0	17.16	-	 < 0.01	1.65E-07	6.66E-06
cell cycle (GO:0007049)	1316	97	160.19	-	.61	1.74E-07	6.99E-06
ureteric bud development (GO:0001657)	80	32	9.74	+	3.29	1.89E-07	7.57E-06
cellular ion homeostasis (GO:0006873)	659	134	80.22	+	1.67	1.94E-07	7.76E-06
cell fate determination (GO:0001709)	43	23	5.23	+	4.39	1.97E-07	7.85E-06
cellular component biogenesis (GO:0044085)	2754	245	335.24	-	.73	1.98E-07	7.88E-06
cellular respiration (GO:0045333)	187	2	22.76	-	.09	2.02E-07	8.02E-06
regulation of signaling receptor activity (GO:0010469)	188	54	22.88	+	2.36	2.14E-07	8.47E-06
negative regulation of cell death (GO:0060548)	1008	187	122.70	+	1.52	2.22E-07	8.75E-06
regulation of postsynaptic membrane potential (GO:0060078)	99	36	12.05	+	2.99	2.25E-07	8.86E-06
eye morphogenesis (GO:0048592)	152	47	18.50	+	2.54	2.32E-07	9.08E-06
camera-type eye morphogenesis (GO:0048593)	125	42	15.22	+	2.76	2.31E-07	9.08E-06
mesonephric epithelium development (GO:0072163)	81	32	9.86	+	3.25	2.37E-07	9.22E-06
mesonephric tubule development (GO:0072164)	81	32	9.86	+	3.25	2.37E-07	9.24E-06
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	66	30.80	+	2.14	2.48E-07	9.64E-06
endocrine pancreas development (GO:0031018)	40	22	4.87	+	4.52	2.52E-07	9.75E-06
immunoglobulin production (GO:0002377)	138	0	16.80	-	 < 0.01	2.56E-07	9.91E-06
regulation of smooth muscle contraction (GO:0006940)	60	27	7.30	+	3.70	2.70E-07	1.04E-05
adult behavior (GO:0030534)	133	43	16.19	+	2.66	2.71E-07	1.04E-05
positive regulation of kinase activity (GO:0033674)	614	126	74.74	+	1.69	2.75E-07	1.06E-05
mesenchymal cell differentiation (GO:0048762)	162	49	19.72	+	2.48	2.76E-07	1.06E-05
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	301	9	36.64	-	.25	2.82E-07	1.08E-05
retina development in camera-type eye (GO:0060041)	148	46	18.02	+	2.55	2.93E-07	1.12E-05
dorsal spinal cord development (GO:0021516)	20	16	2.43	+	6.57	3.07E-07	1.17E-05
modification-dependent protein catabolic process (GO:0019941)	552	28	67.19	-	.42	3.15E-07	1.19E-05
aerobic respiration (GO:0009060)	160	1	19.48	-	.05	3.14E-07	1.19E-05
positive regulation of molecular function (GO:0044093)	1618	274	196.96	+	1.39	3.34E-07	1.26E-05
muscle organ morphogenesis (GO:0048644)	74	30	9.01	+	3.33	3.60E-07	1.35E-05
positive regulation of synaptic transmission (GO:0050806)	135	43	16.43	+	2.62	3.59E-07	1.35E-05
ribosome biogenesis (GO:0042254)	329	11	40.05	-	.27	3.73E-07	1.40E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	545	28	66.34	-	.42	4.06E-07	1.52E-05
cellular macromolecule biosynthetic process (GO:0034645)	1639	131	199.51	-	.66	4.16E-07	1.55E-05
renal tubule morphogenesis (GO:0061333)	66	28	8.03	+	3.49	4.23E-07	1.56E-05
regulation of potassium ion transmembrane transport (GO:1901379)	106	37	12.90	+	2.87	4.21E-07	1.57E-05
nephron morphogenesis (GO:0072028)	66	28	8.03	+	3.49	4.23E-07	1.57E-05
RNA catabolic process (GO:0006401)	248	6	30.19	-	.20	4.43E-07	1.63E-05
regulation of cell death (GO:0010941)	1668	280	203.04	+	1.38	4.77E-07	1.76E-05
regulation of neurotransmitter receptor activity (GO:0099601)	80	31	9.74	+	3.18	5.08E-07	1.87E-05
mRNA catabolic process (GO:0006402)	215	4	26.17	-	.15	5.12E-07	1.88E-05
detection of stimulus involved in sensory perception (GO:0050906)	557	29	67.80	-	.43	5.19E-07	1.90E-05
positive regulation of intracellular signal transduction (GO:1902533)	1040	189	126.60	+	1.49	5.44E-07	1.98E-05
cell cycle process (GO:0022402)	957	65	116.49	-	.56	5.51E-07	2.01E-05
neuron fate specification (GO:0048665)	28	18	3.41	+	5.28	5.77E-07	2.10E-05
cellular response to DNA damage stimulus (GO:0006974)	793	50	96.53	-	.52	6.09E-07	2.20E-05
cellular metal ion homeostasis (GO:0006875)	561	116	68.29	+	1.70	6.09E-07	2.21E-05
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	70	34.45	+	2.03	6.23E-07	2.25E-05
mesenchyme morphogenesis (GO:0072132)	51	24	6.21	+	3.87	6.56E-07	2.36E-05
negative regulation of programmed cell death (GO:0043069)	914	170	111.26	+	1.53	6.63E-07	2.38E-05
intracellular protein transport (GO:0006886)	781	49	95.07	-	.52	6.68E-07	2.40E-05
positive regulation of secretion (GO:0051047)	317	76	38.59	+	1.97	6.72E-07	2.40E-05
nephron epithelium morphogenesis (GO:0072088)	64	27	7.79	+	3.47	7.37E-07	2.63E-05
nuclear-transcribed mRNA catabolic process (GO:0000956)	195	3	23.74	-	.13	7.60E-07	2.71E-05
cartilage development (GO:0051216)	153	46	18.62	+	2.47	8.02E-07	2.85E-05
regulation of catecholamine secretion (GO:0050433)	56	25	6.82	+	3.67	8.30E-07	2.94E-05
regulation of cellular component organization (GO:0051128)	2390	378	290.93	+	1.30	8.49E-07	3.00E-05
positive regulation of potassium ion transport (GO:0043268)	69	28	8.40	+	3.33	8.59E-07	3.02E-05
cellular response to retinoic acid (GO:0071300)	69	28	8.40	+	3.33	8.59E-07	3.02E-05
regulation of synaptic transmission, glutamatergic (GO:0051966)	69	28	8.40	+	3.33	8.59E-07	3.03E-05
ventral spinal cord development (GO:0021517)	44	22	5.36	+	4.11	8.68E-07	3.04E-05
cellular cation homeostasis (GO:0030003)	642	128	78.15	+	1.64	8.67E-07	3.04E-05
learning (GO:0007612)	146	44	17.77	+	2.48	9.41E-07	3.28E-05
embryonic skeletal system morphogenesis (GO:0048704)	95	34	11.56	+	2.94	1.00E-06	3.48E-05
regulation of protein secretion (GO:0050708)	283	69	34.45	+	2.00	1.01E-06	3.51E-05
sex differentiation (GO:0007548)	272	67	33.11	+	2.02	1.02E-06	3.54E-05
regulation of Wnt signaling pathway (GO:0030111)	377	85	45.89	+	1.85	1.06E-06	3.66E-05
somite development (GO:0061053)	79	30	9.62	+	3.12	1.08E-06	3.74E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	386	298.60	+	1.29	1.10E-06	3.79E-05
protein metabolic process (GO:0019538)	4203	410	511.63	-	.80	1.10E-06	3.79E-05
stem cell differentiation (GO:0048863)	157	46	19.11	+	2.41	1.13E-06	3.86E-05
organonitrogen compound metabolic process (GO:1901564)	5246	528	638.59	-	.83	1.14E-06	3.91E-05
regulation of cellular response to growth factor stimulus (GO:0090287)	299	72	36.40	+	1.98	1.19E-06	4.06E-05
organelle fission (GO:0048285)	369	15	44.92	-	.33	1.20E-06	4.09E-05
neuromuscular process (GO:0050905)	136	42	16.56	+	2.54	1.20E-06	4.09E-05
nephron tubule morphogenesis (GO:0072078)	62	26	7.55	+	3.44	1.28E-06	4.36E-05
collagen fibril organization (GO:0030199)	103	35	12.54	+	2.79	1.32E-06	4.47E-05
response to organonitrogen compound (GO:0010243)	1014	183	123.43	+	1.48	1.33E-06	4.48E-05
catabolic process (GO:0009056)	2096	181	255.14	-	.71	1.34E-06	4.50E-05
epithelial cell differentiation (GO:0030855)	686	134	83.51	+	1.60	1.38E-06	4.63E-05
regulation of kinase activity (GO:0043549)	914	168	111.26	+	1.51	1.41E-06	4.75E-05
cardiac conduction system development (GO:0003161)	38	20	4.63	+	4.32	1.48E-06	4.94E-05
muscle tissue morphogenesis (GO:0060415)	67	27	8.16	+	3.31	1.49E-06	4.98E-05
cell population proliferation (GO:0008283)	485	102	59.04	+	1.73	1.53E-06	5.11E-05
cell-cell adhesion (GO:0098609)	515	107	62.69	+	1.71	1.55E-06	5.15E-05
chromosome organization (GO:0051276)	1064	77	129.52	-	.59	1.59E-06	5.27E-05
regulation of synapse assembly (GO:0051963)	99	34	12.05	+	2.82	1.61E-06	5.34E-05
protein-DNA complex subunit organization (GO:0071824)	296	10	36.03	-	.28	1.69E-06	5.59E-05
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	31	10.47	+	2.96	1.76E-06	5.81E-05
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	91	51.13	+	1.78	1.77E-06	5.84E-05
negative regulation of cellular metabolic process (GO:0031324)	2613	406	318.08	+	1.28	1.78E-06	5.86E-05
positive regulation of protein kinase activity (GO:0045860)	539	110	65.61	+	1.68	1.90E-06	6.24E-05
innate immune response (GO:0045087)	848	57	103.23	-	.55	1.92E-06	6.29E-05
macromolecule biosynthetic process (GO:0009059)	1680	139	204.50	-	.68	1.93E-06	6.31E-05
negative regulation of Wnt signaling pathway (GO:0030178)	219	57	26.66	+	2.14	2.01E-06	6.55E-05
appendage morphogenesis (GO:0035107)	141	42	17.16	+	2.45	2.10E-06	6.83E-05
limb morphogenesis (GO:0035108)	141	42	17.16	+	2.45	2.10E-06	6.84E-05
positive regulation of cell projection organization (GO:0031346)	353	80	42.97	+	1.86	2.27E-06	7.33E-05
immunoglobulin mediated immune response (GO:0016064)	201	4	24.47	-	.16	2.27E-06	7.35E-05
mesoderm development (GO:0007498)	121	38	14.73	+	2.58	2.29E-06	7.39E-05
RNA 3'-end processing (GO:0031123)	142	1	17.29	-	.06	2.32E-06	7.44E-05
mitochondrial gene expression (GO:0140053)	142	1	17.29	-	.06	2.32E-06	7.45E-05
mesoderm morphogenesis (GO:0048332)	69	27	8.40	+	3.21	2.33E-06	7.48E-05
negative regulation of apoptotic process (GO:0043066)	895	164	108.95	+	1.51	2.34E-06	7.50E-05
peptide metabolic process (GO:0006518)	544	30	66.22	-	.45	2.35E-06	7.50E-05
response to external stimulus (GO:0009605)	2525	393	307.36	+	1.28	2.37E-06	7.55E-05
metanephric nephron development (GO:0072210)	32	18	3.90	+	4.62	2.41E-06	7.67E-05
cellular amide metabolic process (GO:0043603)	820	55	99.82	-	.55	2.94E-06	9.33E-05
complement activation, classical pathway (GO:0006958)	161	2	19.60	-	.10	2.99E-06	9.48E-05
ribonucleoprotein complex subunit organization (GO:0071826)	196	4	23.86	-	.17	3.15E-06	9.97E-05
defense response to other organism (GO:0098542)	1038	76	126.35	-	.60	3.24E-06	1.02E-04
regulation of MAPK cascade (GO:0043408)	707	135	86.06	+	1.57	3.31E-06	1.04E-04
response to drug (GO:0042493)	394	86	47.96	+	1.79	3.51E-06	1.10E-04
protein-DNA complex assembly (GO:0065004)	256	8	31.16	-	.26	3.53E-06	1.11E-04
appendage development (GO:0048736)	175	48	21.30	+	2.25	3.58E-06	1.11E-04
positive regulation of potassium ion transmembrane transport (GO:1901381)	62	25	7.55	+	3.31	3.57E-06	1.11E-04
limb development (GO:0060173)	175	48	21.30	+	2.25	3.58E-06	1.12E-04
somitogenesis (GO:0001756)	62	25	7.55	+	3.31	3.57E-06	1.12E-04
sodium ion transmembrane transport (GO:0035725)	119	37	14.49	+	2.55	3.70E-06	1.15E-04
regulation of AMPA receptor activity (GO:2000311)	26	16	3.16	+	5.06	3.70E-06	1.15E-04
axis specification (GO:0009798)	88	31	10.71	+	2.89	3.72E-06	1.15E-04
mammary gland development (GO:0030879)	128	39	15.58	+	2.50	3.80E-06	1.17E-04
protein transport (GO:0015031)	1300	102	158.25	-	.64	3.84E-06	1.18E-04
nerve development (GO:0021675)	76	28	9.25	+	3.03	3.91E-06	1.20E-04
response to nitrogen compound (GO:1901698)	1101	193	134.02	+	1.44	3.94E-06	1.21E-04
mesoderm formation (GO:0001707)	67	26	8.16	+	3.19	4.03E-06	1.23E-04
regulation of programmed cell death (GO:0043067)	1532	254	186.49	+	1.36	4.17E-06	1.28E-04
hindbrain development (GO:0030902)	151	43	18.38	+	2.34	4.30E-06	1.31E-04
mitotic cell cycle (GO:0000278)	750	49	91.30	-	.54	4.30E-06	1.31E-04
negative regulation of transport (GO:0051051)	430	91	52.34	+	1.74	4.41E-06	1.34E-04
regulation of muscle contraction (GO:0006937)	161	45	19.60	+	2.30	4.40E-06	1.34E-04
respiratory electron transport chain (GO:0022904)	112	0	13.63	-	 < 0.01	4.51E-06	1.37E-04
positive regulation of protein modification process (GO:0031401)	1079	189	131.35	+	1.44	5.00E-06	1.51E-04
chemical synaptic transmission, postsynaptic (GO:0099565)	68	26	8.28	+	3.14	5.00E-06	1.51E-04
negative regulation of locomotion (GO:0040013)	317	72	38.59	+	1.87	5.25E-06	1.58E-04
metanephros morphogenesis (GO:0003338)	27	16	3.29	+	4.87	5.30E-06	1.59E-04
sensory perception of sound (GO:0007605)	156	44	18.99	+	2.32	5.31E-06	1.59E-04
pallium development (GO:0021543)	173	47	21.06	+	2.23	5.37E-06	1.61E-04
regulation of animal organ morphogenesis (GO:2000027)	183	49	22.28	+	2.20	5.64E-06	1.69E-04
ureteric bud morphogenesis (GO:0060675)	51	22	6.21	+	3.54	5.76E-06	1.72E-04
B cell mediated immunity (GO:0019724)	205	5	24.95	-	.20	5.84E-06	1.74E-04
columnar/cuboidal epithelial cell differentiation (GO:0002065)	78	28	9.49	+	2.95	5.84E-06	1.74E-04
ATP metabolic process (GO:0046034)	206	5	25.08	-	.20	5.92E-06	1.75E-04
mitotic cell cycle process (GO:1903047)	675	43	82.17	-	.52	5.91E-06	1.75E-04
autonomic nervous system development (GO:0048483)	47	21	5.72	+	3.67	6.09E-06	1.80E-04
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	522	105	63.54	+	1.65	6.23E-06	1.83E-04
positive regulation of secretion by cell (GO:1903532)	288	67	35.06	+	1.91	6.22E-06	1.83E-04
ribonucleoprotein complex assembly (GO:0022618)	189	4	23.01	-	.17	6.57E-06	1.93E-04
establishment of protein localization to organelle (GO:0072594)	394	19	47.96	-	.40	6.77E-06	1.98E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2880	436	350.58	+	1.24	6.85E-06	2.00E-04
positive regulation of locomotion (GO:0040017)	560	111	68.17	+	1.63	6.85E-06	2.00E-04
protein modification process (GO:0036211)	2985	282	363.36	-	.78	6.90E-06	2.01E-04
viral gene expression (GO:0019080)	172	3	20.94	-	.14	6.92E-06	2.01E-04
cellular protein modification process (GO:0006464)	2985	282	363.36	-	.78	6.90E-06	2.01E-04
positive regulation of developmental growth (GO:0048639)	169	46	20.57	+	2.24	7.00E-06	2.03E-04
regulation of vesicle-mediated transport (GO:0060627)	530	106	64.52	+	1.64	7.21E-06	2.09E-04
multicellular organismal signaling (GO:0035637)	128	38	15.58	+	2.44	7.28E-06	2.10E-04
mesonephric tubule morphogenesis (GO:0072171)	52	22	6.33	+	3.48	7.36E-06	2.12E-04
G protein-coupled receptor signaling pathway (GO:0007186)	1305	220	158.86	+	1.38	7.43E-06	2.14E-04
placenta development (GO:0001890)	144	41	17.53	+	2.34	7.56E-06	2.17E-04
rRNA processing (GO:0006364)	262	9	31.89	-	.28	7.61E-06	2.18E-04
negative regulation of growth (GO:0045926)	249	60	30.31	+	1.98	7.68E-06	2.20E-04
positive regulation of cation transmembrane transport (GO:1904064)	171	46	20.82	+	2.21	8.10E-06	2.31E-04
pituitary gland development (GO:0021983)	44	20	5.36	+	3.73	8.25E-06	2.35E-04
mitotic nuclear division (GO:0140014)	201	5	24.47	-	.20	8.30E-06	2.36E-04
response to BMP (GO:0071772)	94	31	11.44	+	2.71	8.37E-06	2.37E-04
cellular response to BMP stimulus (GO:0071773)	94	31	11.44	+	2.71	8.37E-06	2.38E-04
cardiac ventricle development (GO:0003231)	123	37	14.97	+	2.47	8.41E-06	2.38E-04
cardiac septum morphogenesis (GO:0060411)	66	25	8.03	+	3.11	8.60E-06	2.43E-04
regulation of vasculature development (GO:1901342)	286	66	34.81	+	1.90	8.78E-06	2.48E-04
regulation of protein kinase activity (GO:0045859)	802	147	97.63	+	1.51	8.95E-06	2.52E-04
detection of stimulus (GO:0051606)	721	48	87.77	-	.55	9.14E-06	2.57E-04
nuclear division (GO:0000280)	339	15	41.27	-	.36	9.54E-06	2.68E-04
ossification (GO:0001503)	267	63	32.50	+	1.94	9.84E-06	2.76E-04
regulation of apoptotic process (GO:0042981)	1493	246	181.74	+	1.35	9.90E-06	2.77E-04
establishment of protein localization (GO:0045184)	1397	114	170.05	-	.67	1.00E-05	2.80E-04
regulation of cell growth (GO:0001558)	422	88	51.37	+	1.71	1.01E-05	2.80E-04
signal release (GO:0023061)	157	43	19.11	+	2.25	1.03E-05	2.87E-04
negative regulation of metabolic process (GO:0009892)	3095	463	376.75	+	1.23	1.08E-05	3.01E-04
response to hormone (GO:0009725)	819	149	99.70	+	1.49	1.09E-05	3.02E-04
proteoglycan metabolic process (GO:0006029)	85	29	10.35	+	2.80	1.09E-05	3.02E-04
embryonic appendage morphogenesis (GO:0035113)	119	36	14.49	+	2.49	1.10E-05	3.04E-04
embryonic limb morphogenesis (GO:0030326)	119	36	14.49	+	2.49	1.10E-05	3.05E-04
negative regulation of cell migration (GO:0030336)	270	63	32.87	+	1.92	1.10E-05	3.05E-04
regulation of angiogenesis (GO:0045765)	282	65	34.33	+	1.89	1.12E-05	3.08E-04
peripheral nervous system development (GO:0007422)	79	28	9.62	+	2.91	1.16E-05	3.17E-04
